Created_At,From_User,Tweet_Text
"Thu, 05 Jul 2012 04:39:24 +0000",punk_army,Ever wonder why #OWS &amp; #SOPA #anonymous doesn't trend on twitter? http://t.co/LLGy0f2j #trending #occupy
"Thu, 05 Jul 2012 04:39:23 +0000",XNightmareXxx,"Sexis good all the time! just wrap your jimmy! Don't commit until you're ready!

Anonymous"
"Thu, 05 Jul 2012 04:39:22 +0000",iSmellPotato,RT @rare_basement: NOLA - New Orleans Lovers Anonymous
"Thu, 05 Jul 2012 04:39:21 +0000",nestle_up,RT @Snufkinski: Anonymous Manga ! Japanese drow a picture Kasumigaura or Kasumigaseki? http://t.co/lmFp2OLv
"Thu, 05 Jul 2012 04:39:20 +0000",rossymartz,RT @imekita: diputado @hectorpablo_ se queja d locura d AMLO pero dice q Anonymous trabaja para el peje! JAJA xD Y la ONU para Calderon no? #sorianaGate
"Thu, 05 Jul 2012 04:39:20 +0000",juniorluz_,Anonymous asked: Porque voc  to lindo hein !? kk http://t.co/a52IyuYR
"Thu, 05 Jul 2012 04:39:19 +0000",smirmidones,RT @emeequis: #Anonymous difunde la supuesta factura de un auto Mercedes Benz de ms de $500 mil de Luis Videgaray http://t.co/dMHkvVhb
"Thu, 05 Jul 2012 04:39:10 +0000",jlpalaciosl,Anonymous est disponible! http://t.co/Y7uyl0ig  Historias del da por @jebuke @DoomGirl_C @orwandil
"Thu, 05 Jul 2012 04:39:09 +0000",Pencil_Eater,Anonymous asked: MY INFORMATION CANNOT BE GIVEN TO YOU YET! JUST POST IT AND I WILL LIKE IT OKAY? AND THEN... http://t.co/vfEquDnv
"Thu, 05 Jul 2012 04:39:04 +0000",poverty2ch_bot," http://t.co/3aLjaaCP


Anonymous 10/14/11(Fri)21:16 No.55925704

"
"Thu, 05 Jul 2012 04:39:03 +0000",supermarioj27,Anonymous asked: eu-quero-a-vida-inteira deve ter te dado j http://t.co/BkuzhA5x
"Thu, 05 Jul 2012 04:39:00 +0000",IRREVERENT7,""" @Bucaner0 @IRREVERENT7 jaja no inventes DMs. Ademas,el conteo votoxvoto esta en la Ley. Y Anonymous // Apuestas el DM es real, ponle ceros"
"Thu, 05 Jul 2012 04:39:28 +0000",TauanyRoseira,Qual   seu restaurante favorito?  Camaro &amp; Cia' http://t.co/Uw7Ce4DQ
"Thu, 05 Jul 2012 04:39:27 +0000",aliciafebi,"Wakakakak enpeh?haha""@KasantiC: Avanya cia sama noman cieee ( ) @aliciafebi haha"""
"Thu, 05 Jul 2012 04:39:25 +0000",Justice4Zehra,"@Nora0315 @ShiaGuyProblems ask yourself this, who gains the most by removing assad, two nations: zionism &amp; the CIA."
"Thu, 05 Jul 2012 04:39:17 +0000",AlexCappascore,RT @Naziasykes: Who wants to stalk dod at marina?  AHA
"Thu, 05 Jul 2012 04:38:27 +0000",USNavyIPs,Pentagon taking snail mail into the digital era: DOD turns paper and ink into binary code for efficiency. http://t.co/BQT833Px
"Thu, 05 Jul 2012 04:36:52 +0000",Ophiuchus_Light,"Mods say..OUCH cont if any of them are not good enough, more can be found. The US DOD and the BROTHERHOOD has purposefully been trying to..."
"Thu, 05 Jul 2012 04:36:38 +0000",Naziasykes,Who wants to stalk dod at marina?  AHA
"Thu, 05 Jul 2012 04:35:45 +0000",BenniAmbon,"Maunya sih ketawa dod , tapi yaudahlah RT @dadidudedody: @BenniAmbon @chrisschristie @yolandagathaa tak perlu"
"Thu, 05 Jul 2012 04:35:39 +0000",rubiyem,"@dodypermana itu panci apa pressure cooker, Dod?"
"Thu, 05 Jul 2012 04:35:06 +0000",Bobbyarmand,"Itu mah gelep dod RT""@dodindrawan: Punya warung dpn itu lh ris , anam lg .. Haha RT @harispermaja: Punya apais lek? Haha RT @Bobbyarmand:"
"Thu, 05 Jul 2012 04:34:44 +0000",delvianisaa,Emg lagu siapa dod day by day?RT @dodynizer: admin fanbase KPop aja ngakuin kalo Day By Day plagiat (cont) http://t.co/yhJixPXD
"Thu, 05 Jul 2012 04:33:12 +0000",tarifebbyanti1,amin ngpe tu dod ._. RT @DodiArdianto1: amiiin wkwkwk RT tarifebbyanti1: ha'ak kan nyambong yak die wkwk RT (cont) http://t.co/LHmifKTu
"Thu, 05 Jul 2012 04:32:54 +0000",BenniAmbon,Ketawa gak ya? Bentar dod RT @dadidudedody: @BenniAmbon @chrisschristie @yolandagathaa mana ada yang masukkan kau.kau aja lagi diluar
"Thu, 05 Jul 2012 04:32:42 +0000",kenidzbar,"Gelap dong gw :( ""@dodymalik: Kl lo ibarat kecap no1 sheil ga ada duanya  RT @kenidzbar: Klo gw dod? *winkwink ""@dodymalik: Teller BCA ..."
"Thu, 05 Jul 2012 04:32:23 +0000",tarifebbyanti1,amin ngpe tu dod ._. RT @DodiArdianto1: amiiin wkwkwk RT tarifebbyanti1: ha'ak kan nyambong yak die wkwk RT (cont) http://t.co/Q5FFvFAM
"Thu, 05 Jul 2012 04:31:45 +0000",Dhyoziel,"muhun bang nu etta,, RT @abnkbrayavspa @Dhyoziel demi Allah dod ku urg di blz tah 2x,nu mnh crhat ka???"
"Mon, 02 Jul 2012 22:06:57 +0000",PhiBetaIota,INSCOM KR Job Openings Right This Minute -  http://t.co/wcVCzz5U
"Thu, 28 Jun 2012 13:18:07 +0000",Elijah_TheGREAT,"I'm at INSCOM - Nolan (Fort Belvoir, VA) w/ 2 others http://t.co/pSD6Tagw"
"Thu, 05 Jul 2012 04:39:11 +0000",alexalanealex,Kkkkkk!!!tamo juntooooRT @MarcinhoCosta1: @alexalanealex: A Presso do Brasil!!!Bom dia http://t.co/mBqTXo6K..bom dia modelo da globo.kkk
"Thu, 05 Jul 2012 04:39:11 +0000",DNabillaQA,"Beh aku hmpir nabrak @anisafanesa: Jarang dia mejo kalo main pkulan RT @dnabillaqa: buang"" keringat mblo mukulin pina ntar"
"Thu, 05 Jul 2012 04:39:11 +0000",_BieelOliveiira,"eu nunca desisti de nada que um dia quis, e vc no vai ser a primeira !! :D"
"Thu, 05 Jul 2012 04:39:10 +0000",norminhaG,RT @PlunctPlactZum_: No dia em que Terra parou
"Thu, 05 Jul 2012 04:39:10 +0000",sintia_maharani,"RT @sintia_maharani: idihh..
Tar dikira ondel"" nyasar nengggg RT @dewayu_ardyany: Emg biar bsa ngerebut org yg dia suka :D"
"Thu, 05 Jul 2012 04:39:10 +0000",aisyayusoff,@Fiesasha haha penang hari lain la. Dia tgah exam lani. Xlama lg dia balik la. Wee
"Thu, 05 Jul 2012 04:39:10 +0000",jorgeohara,"Com ttulo do Timo, ""Jornal da Globo"" est sendo quase um ""Bom dia Brasil""."
"Thu, 05 Jul 2012 04:39:10 +0000",iyangfajrian,"Abis waktunya wkwkRT""@YudiiMulyana: oh tadi dia on di fb katanya lagi twiteran senah cuman kaga tau jol"" ilang. RT @iyangfajrian Gatau """
"Thu, 05 Jul 2012 04:39:10 +0000",rsyltf,Drpd ngasih buat org itu tp dia ga tau? :3 RT @AnisaMarwaF: Pgnbgt apa?RT @rsyltf: Yah udah seneng seneng:$ RT @AnisaMarwaF: Bukan elu
"Thu, 05 Jul 2012 04:39:10 +0000",Caarol_ss2,"RT @ahmaislegal: dia 04.07.2012 vai ficar pra histria, pode ter certeza *-* uma data niiiiiiiiiica!"
"Thu, 05 Jul 2012 04:39:10 +0000",nisrinahutti,"Hus hus.. wkwk:pRT @nathaprawira8: Sikat dia din haha ""@adindamutiaa: Enak sekali dia ngejelekin acara kita wir!RT nathaprawira8: Haha!"
"Thu, 05 Jul 2012 04:39:10 +0000",jesicapriola,selow kakaaa:3 RT @AriefSinaga26: Siriklah nem seTINGGI itu RT @jesicapriola: sirik aja lu pada. sukasuka dia atuh wkwk RT
"Thu, 05 Jul 2012 04:28:56 +0000",Ledessmaa,@MicaaAltamiraa sabeeees donde lo ahce mcia ? ajajajaj
"Thu, 05 Jul 2012 04:08:19 +0000",JcArchival,@jshaniemartin kabit! Naa pd kos mcia ganina ra :( huhuhuhu
"Wed, 04 Jul 2012 01:51:40 +0000",PaalomaPoot,"JAJAJAJAJJAA MCIA ES UNA FRAK, NO SABE NADA DE NADA"
"Tue, 03 Jul 2012 15:31:11 +0000",desechables,BUEN DIA!!! !!!!!!!!!!!!!        VARIEDAD EN WRAPPERS PARA LOS CUPCAKES. TE INVITAMOS A VER NUESTRA MCIA POR FACEBOOK DESECHABLES LA CHINITA
"Tue, 03 Jul 2012 15:28:33 +0000",_MicaMeuGostoso,"eu brigando com Mainha, ela dizendo que meu Mcia  feeio, v se pode ?? ;@"
"Tue, 03 Jul 2012 10:39:39 +0000",laveniaa,@hagi_cm haixx...mcia teng..wkwkk..kl bx w pn pgn pg..nginap yh?
"Tue, 03 Jul 2012 04:37:04 +0000",ry_gasm,@heycarena u were a MCIA!!
"Mon, 02 Jul 2012 23:53:56 +0000",Leety_RebeldeBr,meeu porq o pingo foi chegar velho porq naum dexo o pedro acabar com ooo tomatee la poo cara o mcia e taum perfeito com raiva
"Mon, 02 Jul 2012 15:58:20 +0000",LucasCanteros,suerte con tu vidita mcia
"Mon, 02 Jul 2012 12:07:33 +0000",cotiicampos,"Le digo a giancris raja de aca que me voy a sentar con mcia y me dice vos porque te queres machetiar , negro de mierda indocumentado"
"Thu, 05 Jul 2012 04:39:37 +0000",gema47919897,pertama yg ngambil ijasah teh pan gma mrn mit sok nga luluconin hahahaha RT @MittaBella2
"Thu, 05 Jul 2012 04:39:36 +0000",DEF311,nakan ampianaran nga njy? D.TUV21
"Thu, 05 Jul 2012 04:39:35 +0000",_ApinkOhy96_,@cle_hayoungap udah nga apa-apa:)
"Thu, 05 Jul 2012 04:39:34 +0000",maussiemouse,@gorjusCindy @kayanne35 @aninajnomis ~Oo nga noh?? Ibalik natin ang tanung.. Lolz
"Thu, 05 Jul 2012 04:39:33 +0000",itsmenicole25,RT @vicegandako: Phills. #1 sa may pinakamaraming kaso ng TEEN AGE PREGNANCIES sabi ng U.N. Eh kasi nga ang hilig makipag PeeBeeBeeTeens!!! Haaaaayyyy!
"Thu, 05 Jul 2012 04:39:33 +0000",DeraDefadewi,@rajab_dafhy nga ada deh kayana :D
"Thu, 05 Jul 2012 04:39:28 +0000",almamaputol1,@EBdabarkads  ang cute ni ryzza nga.... cute ang no. 2 na mr. pogi
"Thu, 05 Jul 2012 04:39:27 +0000",ohmyKiAN,@ItsMeBerie Ay oo nga pala. Naawa Lang Ako Sa pag sasabitan mo. Hahahaha! Mas mauuna pa bumigay Kesa sayo. Charing. Hahaha. :)
"Thu, 05 Jul 2012 04:39:26 +0000",triciannelucas,"@atomaraullo: Teka nga lang, kanina pa nangaakit tong banana cue sa bangketa eh hahaha!! Ang cute Lang! "
"Thu, 05 Jul 2012 04:39:26 +0000",jheoyzdc,Ang hirap ng may makulit na boss!!! wwaaahhh!!! alam na nga na understaffed kung ano-ano pa inuutos na di naman kelangan! HMP!
"Thu, 05 Jul 2012 04:39:26 +0000",WillowKimura,@NEWSkiss si keito n Yuya will mst probably end up being whipped by their wives kc nga they'll treat them very nicely n do wat d wives ask 4
"Thu, 05 Jul 2012 04:39:25 +0000",BeybeCamz,@cjrttrah Haha. Kain lage. Para healthy si baby. Ano nga pangalan? :)
"Thu, 05 Jul 2012 04:39:25 +0000",chanteusse,"@scho_uhnn Ay sorreh =)) autocorrect fails nanaman =)) ""Ilang brass"" HAHAHAHA erm 3 nga lang nadownload ko eh. =/"
"Thu, 05 Jul 2012 04:39:24 +0000",jktud,"@raicruz @danamalang Hindi sir, 'di nga ko proud. Kaya nga super effort ako pag dating sa vt2, vt3, funda 'e. @-)"
"Thu, 05 Jul 2012 04:39:24 +0000",gi_Joe04,"once in a blue moon na nga lang mag-online sa FB, may nakiki-chat pa din. tsk."
"Thu, 05 Jul 2012 04:38:09 +0000",mariangelaGF,RT @Mdlos_Angeles: Paso nro 1 No entrar en crisis RT @ErikaDLV RT @mariangelaGF: #MiLibroDeAutoAyuda que hacer en momentos que de Repente se va la luz!
"Thu, 05 Jul 2012 04:37:14 +0000",Mdlos_Angeles,Paso nro 1 No entrar en crisis RT @ErikaDLV RT @mariangelaGF: #MiLibroDeAutoAyuda que hacer en momentos que de Repente se va la luz!
"Thu, 05 Jul 2012 04:36:10 +0000",CamiDietrich,A quin podr dedicarle mi tweet nro 1000? Me faltan 7.
"Thu, 05 Jul 2012 04:34:43 +0000",JimmyAceves,"RT @bobthedog369: @BarackObama funny I thought u were in Paris, oh that was just the loons at fox @AndrewCMcCarthy wrote in @NRO PBOPARIS"
"Thu, 05 Jul 2012 04:33:00 +0000",Deiby_Airforce,@SanchezJoselo favor enviar saludos al personal militar de FAE Ala Nro. 21 Taura
"Thu, 05 Jul 2012 04:32:02 +0000",carlitos__23,Mi tuit nro 1000 va para mi amigoo @Aresmay para que se haga su Fb o no @_ivancaceres ??ya me estoy cansando de dedicarle tuits jajaja
"Thu, 05 Jul 2012 04:30:54 +0000",Masturbador3000,RT @HElectronica: Afrojack en 2010 lleg a ocupar el Nro.19 en el top100 de DJmag y en 2011 alcanz a posicionarse en el puesto Nro.7 de dicha encuesta
"Thu, 05 Jul 2012 04:30:48 +0000",MovistarArg,@FeerGill Hola Fernando! Comentanos tu inconveniente y pasanos tu nro de lnea por DM. Locali/barrio donde te encontrs y gestionamos. GR.
"Thu, 05 Jul 2012 04:30:31 +0000",Clautrix,@lulidemaussion bueno te llamo en estos das...segus con el mismo nro???
"Thu, 05 Jul 2012 04:28:47 +0000",AgustinRuffo,"RT @LaPassucci: jugadores levantando brazos y recibiendo el saludo del Nro. 12... nos podemos ir a dormir en paz. Tristes, pero en paz con nuestra historia"
"Thu, 05 Jul 2012 04:39:09 +0000",funnyrex,@daintyvica dami ah! Break nyo ba ngayon or nsa bahay ka na?
"Thu, 05 Jul 2012 04:37:40 +0000",SharmzRockYow,"""@AishOfficial: @Malyn024 QC?? bkit asan b ung SM North?? nsa makati b?""Whaahhahaaha ;') laftrip kay mani ! lol"
"Thu, 05 Jul 2012 04:37:07 +0000",Keena_mari,@TeaaamWENDY @tinatinats @wendytabusalla hahaha ako ung nsa gilid ng queen ung matulis antawag dun babe?
"Thu, 05 Jul 2012 04:36:57 +0000",AishOfficial,@Malyn024 QC?? bkit asan b ung SM North?? nsa makati b?
"Thu, 05 Jul 2012 04:36:06 +0000",MarivicCelones,@p_a_j_c nsa ate ko ksi ung cam..paguwi nya..sorry..
"Thu, 05 Jul 2012 04:35:50 +0000",markiko30,"@winogarcia kelan b yan.pwd bukaz nlng,nsa ofice p q e."
"Thu, 05 Jul 2012 04:34:41 +0000",TF_angela,"Teka lumiit ka ba?? Dati ksi, hanggang balikat kita,ngayon nsa puso n kita!"
"Thu, 05 Jul 2012 04:33:56 +0000",samCavalida,@MyrtleSarrosaFP hello po! Sana po mbasa nio.mga tweets ko about myrt. Forgot to tag u mn po pro nsa prof q lng ;))
"Thu, 05 Jul 2012 04:33:42 +0000",kayohl,@czareepadilla @akosiBamP nbsa ko n yn.. nsa 2nd buk n ko.. at wla skong blak mganak pa
"Thu, 05 Jul 2012 04:33:32 +0000",NEWSDetector247,"NSA Dasuki to meet Boko Haram chiefs : I have their phone numbers, he says http://t.co/8z7aTy7l"
"Thu, 05 Jul 2012 04:32:56 +0000",RavennaM,last 4th of July: drinking beer at American Embassy in Nepal. This 4th: eating pudding and discussing cyber security with NSA employee...
"Thu, 05 Jul 2012 04:30:55 +0000",bilibutterfield,Y wont the Obama admin reveal how many Americans emails the NSA has collected and reviewed without a warrant? https://t.co/bl7g4mbf
"Thu, 05 Jul 2012 04:30:30 +0000",incrediblejon,@yshyigdanes andame bat ganun parang dko kayang basahan.. saang part ung interesting? nsa page 9 pln ako ayawko na tpusin haha
"Thu, 05 Jul 2012 04:39:18 +0000",Renodicto,adventure sutaji with oni RT @adisetyoW: The amazing sutaji RT @NazaretJohan: Aku apa? RT @Renodicto: keceng berontak http://t.co/0JCtwwWR
"Thu, 05 Jul 2012 04:38:07 +0000",melly2589,@vioniutomo knp oni? Kamyu kangen sama akuh? () bsk kan ketemu... Ahahahahahah
"Thu, 05 Jul 2012 00:02:04 +0000",3kavc5,aleeluia luiz foi tomar banho e deixa eu mexer 1 oici
"Wed, 04 Jul 2012 21:50:51 +0000",Juabas_14,@olga1588 realmente te oareces un oici jahaja xd a la zariguella digo (la ardilla x i no lo entiendes x tu rubiedad XD)
"Wed, 04 Jul 2012 09:24:22 +0000",JulMacOs,"Cydia  EasyRefresh for Chrome, rafraichissez vos pages Chrome facilement: oici un nouveau tweak pour la trs bo... http://t.co/BbzmiE4O"
"Wed, 04 Jul 2012 09:24:22 +0000",xKruys,"Cydia  EasyRefresh for Chrome, rafraichissez vos pages Chrome facilement: oici un nouveau tweak pour la trs bo... http://t.co/ahwGT94C"
"Wed, 04 Jul 2012 09:24:22 +0000",iPh_Francophone,"Cydia  EasyRefresh for Chrome, rafraichissez vos pages Chrome facilement: oici un nouveau tweak pour la trs bo... http://t.co/ulSKHBVt"
"Sun, 01 Jul 2012 11:38:15 +0000",anilgulenn,Bu hafta oici felen istanbula donuceem galiba :D sonraa bilmiyoom
"Sat, 30 Jun 2012 14:36:16 +0000",masskoi,":'( RT @ciyecci: untuk segala sesuatu yang selalu kamu namun bukan untukku, aku masih menangis #oici"
"Sat, 30 Jun 2012 14:29:51 +0000",codrz,#oici -nya MAUUUUTTTTT.. !!! Cc : @masskoi
"Sat, 30 Jun 2012 08:04:52 +0000",codrz,Go !! RT @ciyecci: pengen buat tagar #oici :))
"Sat, 30 Jun 2012 04:40:41 +0000",Ivan_dacruz22,a ver un oici de teke
"Fri, 29 Jun 2012 18:45:26 +0000",DjokoKisS,C LE FEU OICI A LA FAVELA SOLO AVEC LE SON ARCHI ARCHI A FOND LES MUR VIBRE OH OH OH OH OH
"Thu, 05 Jul 2012 04:38:33 +0000",emily_kelliher,@Marrocco19 he goes to dhs lol
"Thu, 05 Jul 2012 04:36:42 +0000",EDgar_C3P0,This was a bit weird #firework #dhs #yourmom #delayedfocus #boom http://t.co/GF4g0UMS
"Thu, 05 Jul 2012 04:36:32 +0000",colorfullizard,"RT @Agoodman4u2know: Glad I'm not the only one sayin it""@nov62012: @LNWilcoxson Napolitano and DHS can kiss my ass. The terrorists are Obama and his regime."""
"Thu, 05 Jul 2012 04:36:30 +0000",MrItty,@studioscentral We were able to see most of the DHS fireworks from Epcot.  Spectacular show you guys enjoyed over there!
"Thu, 05 Jul 2012 04:36:16 +0000",1_Eagle,@GregLGaines how would you know you're on a DHS watchlist and why are you telling me about it?
"Thu, 05 Jul 2012 04:36:11 +0000",AndyHutchins,"@kaityballgame Are there no other DHs in the AL they could have gotten? Hell, is Youk a better option?"
"Thu, 05 Jul 2012 04:35:37 +0000",Ophiuchus_Light,"Mods say...OUCH cont level divorce attorney will be involved. More than just the DHS, FBI, CIA, DIA, FSB. PRC, MOD, CDC, and others. ..."
"Thu, 05 Jul 2012 04:34:36 +0000",sandiegodavo,RT @nov62012: @LNWilcoxson Napolitano and DHS can kiss my ass.  The terrorists are Obama and his regime.
"Thu, 05 Jul 2012 04:33:39 +0000",GregLGaines,@1_Eagle DHS watch list
"Thu, 05 Jul 2012 04:39:43 +0000",SterlingGate,"Attn Kindle readers: Thriller THE NINTH ORPHAN is only 99cents. ""A fantastic spy thriller""  http://t.co/YpBLPkE5 #CIA #NSA #FBI #kindle"
"Thu, 05 Jul 2012 04:39:42 +0000",LetetKoj,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:37 +0000",LaVD_Duele,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:36 +0000",Hala_asg,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:30 +0000",NickolasManahim,Hahaha indeed RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:28 +0000",1DersOfTheWorld,"Directioners should really work for the FBI or something... Seriously, I'm not kidding."
"Thu, 05 Jul 2012 04:39:27 +0000",madison1martin6,A jealous woman does better research than FBI.
"Thu, 05 Jul 2012 04:39:26 +0000",Jesse_Roy,RT @Conspiracy_Co: 4th July will mark the 95th anniversary of the destruction of Nikola Teslas Magnifying Transmitter by the FBI via the espionage act of 1917
"Thu, 05 Jul 2012 04:39:25 +0000",erinnicolee17,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:22 +0000",arianna_gee,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:19 +0000",audhilanvryn,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:17 +0000",Sweet_memo,"So true xD""@funnyortruth: A jealous woman does better research than the FBI."""
"Thu, 05 Jul 2012 04:39:17 +0000",shaniceflorez,RT @funnyortruth: A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:13 +0000",ColdHearted_Nel,Yes @funnyortruth A jealous woman does better research than the FBI.
"Thu, 05 Jul 2012 04:39:42 +0000",lilcuh_Jonny,We went to da beach and faith got da carkeys locked in da car so we was stuck out dea fo a good four hours smh
"Thu, 05 Jul 2012 04:39:37 +0000",LoLifee_,@GorgeousD_ bet rat dea. I was gone ride threw dea today
"Thu, 05 Jul 2012 04:39:36 +0000",dheaputriL,"RT""@diimasPN: $%$R%^$R&amp;^&amp;%&amp;%^#%^ RT @dheaputriL: Apee ? Huhu ""@diimasPN: dea :D RT @dheaputriL: ""@diimasPN: @dheaputriL"""""""
"Thu, 05 Jul 2012 04:39:36 +0000",YoSoyUnPuto,RT @Giov_HD: Confirma la DEA que te veras mejor si me estuvieras besando ahora
"Thu, 05 Jul 2012 04:39:32 +0000",__RED23s,RT @Mtzion_blvd231: @__RED23s I got dea at 9 sum... Hml
"Thu, 05 Jul 2012 04:39:32 +0000",viekaaaa,"yg kebelet siapa :p hahaRT @dhea970721 kamu yg mulai :DRT @viekaaaa: ih, dea nggilani deh :p"
"Thu, 05 Jul 2012 04:39:29 +0000",jelitarachmaa,"Bisaaa jadi :D semangaaat ~ ""@ulfahly: ak sma dea doang nih? -__- RT @jelitarachmaa: Hahahah m/ ""@ulfahly: owalaah -___- RT"
"Thu, 05 Jul 2012 04:39:23 +0000",DatProphetNigga,Finna put one up dea!
"Thu, 05 Jul 2012 04:39:23 +0000",alvinnoo,"@deadeviina dea diajakin dito noh ntn, mau ga? Rame2 nih sama anak live in hahaha"
"Thu, 05 Jul 2012 04:39:21 +0000",deaaaaaaW,Kangen sama dea wkwkwk RT @branaldybran 11:11? K?
"Thu, 05 Jul 2012 04:39:20 +0000",deaautaari,"Oke ;;)RT ""@dheaeaa: 28223ff4 dee:)RT @deaautaari: dheaeaa kak dea aku on ;;) minta pinya hehe"""
"Thu, 05 Jul 2012 04:39:03 +0000",INRBot,"1 USD = 54.815 INR, 1 EUR = 68.6815 INR."
"Thu, 05 Jul 2012 04:38:26 +0000",StocksandFX,USD/INR ends 4-day losing streak http://t.co/bNTvUtw6 #sfx #fx #nasdaq
"Thu, 05 Jul 2012 04:38:21 +0000",AndroidFavorite,"#Android Lenovo IdeaPad K1 gets a price cut, now selling for INR 22,724 in India http://t.co/XsI8JY3S"
"Thu, 05 Jul 2012 04:37:57 +0000",Chintan2911,Sell MCXSX July GBP/INR at 85.72-85.74. SL-85.93. Target- 85.50.
"Thu, 05 Jul 2012 04:37:04 +0000",amittttt123,RT @sonaliranade: $-INR 55
"Thu, 05 Jul 2012 04:35:34 +0000",mosesharding,"USD/INR has come off nicely from 55 (high of 55.05) to imm supp at 54.80; With EUR/USD under pressure, below 54.80 tough to sustain"
"Thu, 05 Jul 2012 04:35:25 +0000",IIFLCommodities,#INR is expected to be range bound or may go little up in these two days but overall trend is down for next two weeks. #IIFLLive
"Thu, 05 Jul 2012 04:34:55 +0000",MARKET_ALERT,`Buy` USD/INR July for target of 54.77/54.85: ICICIDirect http://t.co/neo9qShd
"Thu, 05 Jul 2012 04:32:15 +0000",sonaliranade,$-INR 55
"Thu, 05 Jul 2012 04:30:55 +0000",SATISHSATISH01,USD/INR now 55.02 one can book part. Profit
"Thu, 05 Jul 2012 04:30:54 +0000",Twter107,Daily Reports -- New post: `Buy` USD/INR July for target of 54.77/54.85: ICICIDirect http://t.co/fUElStiY
"Thu, 05 Jul 2012 04:30:18 +0000",ajit_rtn,RT @IIFLCommodities: Two weeks call : JPY INR July : Short part@ 69.30 and part @ 69.90 tgt1 67.30 tgt2 66.15 tgt3 65.55 sl 70.26. #IIFLCommodities
"Thu, 05 Jul 2012 04:30:02 +0000",TheForexFeedCom,USD/INR ends 4-day losing streak http://t.co/IDilIoRo #forex
"Thu, 05 Jul 2012 04:30:00 +0000",CurrConv,#currency EUR/USD:1.25 USD/JPY:79.86 GBP/USD:1.56 USD/CHF:0.96 USD/CAD:1.01 AUD/USD:1.03 USD/INR:54.86 23:30EST #Forex http://t.co/BrfqmBED
"Thu, 05 Jul 2012 04:34:36 +0000",emahira54,Sial replies tfi lama
"Thu, 05 Jul 2012 04:32:53 +0000",vitalambaga,"ber,tfi,echofon lemot semuaaa"
"Thu, 05 Jul 2012 04:28:40 +0000",vittakadek,Ini nemu wifi di stasiun :D ntar kalo ketemuan yaps di mcd ;) RT @bettychance: TFI lg anak ini :') mau dong vit :') RT @vittakadek:
"Thu, 05 Jul 2012 04:27:49 +0000",princessaaDK,"Bolak balik dari twitter for ipad, ubers, tfi lagi, ubers lagi._."
